Ids,Sentiment,Sarcasm,Vulgar,Abuse,Target,OCR
Hindi_image_1817.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,Ba8@ DaNn G@rainiD IR T३ PDBB WRHE W PRD BCEN 7TT Dian CI# BAMAUH LAR LENI CRAHIY
Hindi_image_7.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,"Nari nari mat kar pagle, Nari he nark ka dwar. Khus bhi ho to kya degi? Whi malmutra ka dwar. gai"
Hindi_image_1.jpg,Positive,Sarcastic,Non Vulgar,Abusive,Gender,Kitni push ops maarsakte ho dafly? 5 aur agar tumnicheho to ५० Hi rok SIX Hattt kamina.
Hindi_image_32.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,अब इसमें मेरी कहां गलती है बताओ.. तरबूज़ वाली को बोला.... थोड़ी चोड़ी करके दिखाओ... अंदर सेलाल है क्या ? देखना है.. तरबूज फेंक के मारा भेन की लौड़ी ने
Hindi_image_1714.jpg,Negative,Sarcastic,Non Vulgar,Abusive,Gender,"""KUDI MENU KEHNDl... 'MENU JUTI LA DE SONIYE.. ""MAIN KEHNDA HATT BSDKaop"""
Hindi_image_295.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,"GIMDH L Agar 1 me 2 dale to kya hota hai Ye to apki himmat hai, hamart to ek se hi jaan nikal jat hai"
Hindi_image_34.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,"प्पू :- कोई कंडोम दिखाना? वक्रेता : या फिर कोई इम्पोर्टेड? प्पू :- नहीं, कोई सस्ता और खुश्बु वाला है दे दो! डोम विक्रेता लौड़े पे अगरबत्ती का प्लास् वर लगा के चोद भोसड़ी केI कोहिनूर"
Hindi_image_21.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,औरतो के दो करिश्मे... घास नहीं खाती है फिर भी दुध देती है लन्ड नहीं है फिर भी आदमी की गाड मार लेती है.
Hindi_image_1910.jpg,Positive,Sarcastic,Vulgar,Abusive,Gender,ellyiriend Urct int 40|4=70 Bhal Wamhaliia Kanaya Ddeodelha Kattlaa| Elni Tll Nlutthal Dro Iiutthal Ralia solaa lai re Tu 117!
Hindi_image_119.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"पठान नौकरानी को, तुम बेगम सेज्यादा मज़ा देती हो""| नौकरानीः हजूर, ये तो आपकी ज़र्रा नवाजी है[ वर्ना सारे नौकर तो कहते हैं कि बेगम ज्यादा मज़ा देती हैl"
Hindi_image_677.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,tohaD bhundwa ma huluaar Lundwa
Hindi_image_118.jpg,Neutral,Non-Sarcastic,Vulgar,Abusive,Gender,सुहाग रात में; बिल्डरः तेरे होंठ जैसे हैं ङ्ै्लेर्लै लैंडस्केप गार्डन की तरह हैl बीवीः अब भूमि-पूजन भी करोगे या मज़दूर बुलाऊँ
Hindi_image_9.jpg,Positive,Non-Sarcastic,Vulgar,Abusive,Gender,"पहला बच्चा चादरमोद दूसरा बच्चा तू चादरमोद पत्नी ( ग़ुस्से में) - कुछ कहेंगे इन्हें आप? पति ""मादरचोद"" होता है चूतियों | पत्ना आप भी गांडमरे हि हो, वो चादर मोड़ने की बात कर रहे हैंl"
Hindi_image_100.jpg,Neutral,Sarcastic,Vulgar,Abusive,Gender,एक आदमी अपने पड़ोसी को चिड़ाने के लिये किसी बात पे बोला......यार तेरी शक्ल तो बिल्कुल मेरे लौडे जैसी है पड़ोसी भी बाबा सैक्सीदास का भक्त जवाब तुरंत था मूँज दाबिदि जवाब दिया| पड़ोसी तभी मैं सोचु भाभी मुझे देखते ही अपनी टार्गें क्यों फैला लेती है
Hindi_image_261.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,"GAMDH ] Atul mera doodh nhi pita hai is main Atul kya hai Atul chutiya hai ,aap hume mauka do PURA nichod ke talhdence"
Hindi_image_8.jpg,Negative,Non-Sarcastic,Vulgar,Abusive,Gender,"दो औरतें बस में सीट के लिए झगड़ रही थी| पहलीः ले रांड ये सीट अपने भोसड़े में डाल ले मादरचोद तू ये पूरी बस अपनी गांड में डाल ल इतने में कंडक्टर बोला , बहनजी , अगर आप ये सीट उनके भोसड़े में डाल देंगी| और ये बस उनकी गांड में डाल देंगी, तो मैं क्या अपने पैसेंजर को अपने लंड पर बिठा के घुमाऊंगा| दूसरीः"
Hindi_image_838.jpg,Negative,Non-Sarcastic,Non Vulgar,Abusive,Gender,Kahan Ho Tum ? Pta nahil pr yaha Chutiya si Ladkiya Bhi Attitude Dikha Rahi Hai Welcome to Facebook
Hindi_image_141.jpg,Neutral,Sarcastic,Non Vulgar,Abusive,Gender,"एक औरत रिक्शे से गिर गयी उसकी साड़ी ऊपर हो गयी एकदम से उठ कर बोली, देखी मेरी रिक्शे वालाः लेकिन मैडम हमारे यहाँ तो इसे कहते है..! फुर्ती| फुददी"
Hindi_image_29.jpg,Negative,Sarcastic,Vulgar,Abusive,Gender,ने लड़के को एक घड़ी गिफ्ट करी॰ लड़का यह घड़ी चू*्त की याद दिलाती है! से॰्क्सी है? लड़का : नहीं ढीली है ! भाग मादरचोद Il लड़की तुम्हारी मुझे लड़कीः लड़की
